timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1659915578234,10,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,10,0,1
1659915578762,82,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,82,0,1
1659915578698,253,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,252,0,0
1659915578974,9,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,9,0,2
1659915579296,150,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,148,0,0
1659915579540,13,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,13,0,2
1659915579855,189,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,186,0,0
1659915580034,315,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,313,0,0
1659915580550,16,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,16,0,4
1659915580643,306,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,306,0,0
1659915581041,17,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,17,0,3
1659915581618,23,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,23,0,2
1659915581588,169,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,166,0,0
1659915581912,21,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,21,0,1
1659915582060,184,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,182,0,0
1659915582539,16,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,16,0,4
1659915582698,244,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,242,0,0
1659915582977,164,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,161,0,0
1659915583346,12,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,12,0,2
1659915583747,9,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,9,0,1
1659915583652,190,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,188,0,0
1659915584479,71,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,71,0,2
1659915584376,175,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,172,0,0
1659915584681,16,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,16,0,3
1659915584821,530,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,529,0,0
1659915585354,8,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,8,0,1
1659915585571,177,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,175,0,0
1659915586133,27,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,27,0,1
